dateFiled,filename
2010-12-31,16197
2011-12-31,16816
2012-12-31,16721
2013-12-31,17733
2014-12-31,17841
2015-12-31,17007
2016-12-31,17329
2017-12-31,17357
2018-12-31,17508
2019-12-31,17896
2020-12-31,10139
2021-12-31,6493
